career_label,skills,interests,career_goal,projects_done,education_branch,year_of_study,cgpa,has_internship,weakness,preferred_work,open_to_masters,combined_text
Software Engineer,"data structures, object oriented programming, python, design patterns, agile, java, algorithms, rest api, c++, system design",software development,backend developer,url shortener,Software Engineering,3rd year,7.9,False,not confident in interviews,research organization,True,data structures object oriented programming python design patterns agile java algorithms rest api c++ system design software development backend developer url shortener software engineering no internship not confident in interviews
Software Engineer,"data structures, object oriented programming, c++, agile, design patterns, problem solving, algorithms, rest api, git, unit testing, java",open source,sde at faang,ecommerce website,Information Technology,final year,8.7,False,need to improve debugging skills,mnc with good work life balance,False,data structures object oriented programming c++ agile design patterns problem solving algorithms rest api git unit testing java open source sde at faang ecommerce website information technology no internship need to improve debugging skills
Cybersecurity Analyst,"linux, sql, networking, firewalls, ethical hacking, security fundamentals, cryptography",penetration testing,cybersecurity analyst,security audit,Information Technology,1st year,6.3,True,weak in statistics,fintech startup,True,linux sql networking firewalls ethical hacking security fundamentals cryptography penetration testing cybersecurity analyst security audit information technology internship weak in statistics
Software Engineer,"data structures, linux, object oriented programming, python, java, problem solving, algorithms, c++",competitive programming,software engineer at a top product company,chat application,Software Engineering,1st year,7.9,True,weak in statistics,mnc with good work life balance,True,data structures linux object oriented programming python java problem solving algorithms c++ competitive programming software engineer at a top product company chat application software engineering internship weak in statistics
DevOps Engineer,"azure, shell scripting, ci/cd, docker, prometheus, kubernetes, aws",devops,cloud engineer,dockerized application,Information Technology,4th year,7.0,False,need to work on time management,edtech company,False,azure shell scripting ci/cd docker prometheus kubernetes aws devops cloud engineer dockerized application information technology no internship need to work on time management
Cybersecurity Analyst,"firewalls, ethical hacking, security fundamentals, cryptography, penetration testing",network security,ethical hacker,penetration testing report,Electronics and Communication,2nd year,7.1,True,lack of real-world project experience,startup environment,False,firewalls ethical hacking security fundamentals cryptography penetration testing network security ethical hacker penetration testing report electronics and communication internship lack of real-world project experience
Data Analyst,"tableau, sql, data visualization, excel, python, statistics, google analytics, power bi, machine learning basics, pandas",insight generation,insights analyst,customer behavior analysis,Mathematics,3rd year,9.5,True,need to work on time management,edtech company,False,tableau sql data visualization excel python statistics google analytics power bi machine learning basics pandas insight generation insights analyst customer behavior analysis mathematics internship need to work on time management
Cloud Engineer,"linux, azure, python, docker, git, cost optimization, serverless, storage services",infrastructure,aws engineer,serverless api on lambda,Electronics and Communication,final year,6.2,True,not confident in public speaking,mnc with good work life balance,False,linux azure python docker git cost optimization serverless storage services infrastructure aws engineer serverless api on lambda electronics and communication internship not confident in public speaking
Data Scientist,"numpy, tableau, sql, data visualization, python, pytorch, statistics, nlp, machine learning, probability, feature engineering, pandas",predictive modeling,applied scientist,image classifier,Mathematics,final year,7.7,True,weak in networking concepts,startup environment,True,numpy tableau sql data visualization python pytorch statistics nlp machine learning probability feature engineering pandas predictive modeling applied scientist image classifier mathematics internship weak in networking concepts
Data Analyst,"tableau, excel, dashboard design, statistics, power bi, pivot tables, r, machine learning basics",insight generation,analytics engineer,excel dashboard,Commerce,2nd year,6.8,True,need to improve debugging skills,research organization,False,tableau excel dashboard design statistics power bi pivot tables r machine learning basics insight generation analytics engineer excel dashboard commerce internship need to improve debugging skills
UI/UX Designer,"usability testing, figma, html css basics, adobe xd, user research, color theory, wireframing, design thinking",product design,interaction designer,user research report,Information Technology,3rd year,6.2,True,not confident in interviews,"product company, remote",True,usability testing figma html css basics adobe xd user research color theory wireframing design thinking product design interaction designer user research report information technology internship not confident in interviews
Frontend Developer,"react, vue, responsive design, css, git, javascript",building user interfaces,frontend engineer,todo app,Information Technology,final year,9.1,True,weak in networking concepts,startup environment,True,react vue responsive design css git javascript building user interfaces frontend engineer todo app information technology internship weak in networking concepts
DevOps Engineer,"linux, shell scripting, networking basics, ci/cd, docker, kubernetes, jenkins, aws",cloud computing,platform engineer,automated deployment pipeline,Information Technology,final year,8.3,False,weak in mathematics,"product company, remote",True,linux shell scripting networking basics ci/cd docker kubernetes jenkins aws cloud computing platform engineer automated deployment pipeline information technology no internship weak in mathematics
Embedded Systems Engineer,"raspberry pi, electronics, arduino, rtos, c++",robotics,embedded systems engineer,smart irrigation system,Electrical Engineering,4th year,9.9,False,need to work on time management,startup environment,False,raspberry pi electronics arduino rtos c++ robotics embedded systems engineer smart irrigation system electrical engineering no internship need to work on time management
Cloud Engineer,"linux, cloud security, python, networking, docker, git, gcp, serverless, kubernetes, aws, storage services",infrastructure,cloud architect,cloud cost dashboard,Information Technology,final year,9.1,False,weak in mathematics,remote job,True,linux cloud security python networking docker git gcp serverless kubernetes aws storage services infrastructure cloud architect cloud cost dashboard information technology no internship weak in mathematics
ML Engineer,"numpy, pytorch, python, tensorflow, model deployment, machine learning, deep learning, pandas",deep learning,machine learning engineer,ml model monitoring,Artificial Intelligence,final year,8.3,True,weak in statistics,service company,False,numpy pytorch python tensorflow model deployment machine learning deep learning pandas deep learning machine learning engineer ml model monitoring artificial intelligence internship weak in statistics
ML Engineer,"numpy, pytorch, python, tensorflow, model deployment, machine learning, deep learning, kubernetes, fastapi, pandas, data pipelines",ai model deployment,ml engineer,real-time inference system,Computer Science,2nd year,6.0,True,weak in statistics,startup environment,False,numpy pytorch python tensorflow model deployment machine learning deep learning kubernetes fastapi pandas data pipelines ai model deployment ml engineer real-time inference system computer science internship weak in statistics
Business Analyst,"communication, uml, excel, sql",requirement analysis,requirements analyst,stakeholder analysis,Computer Science,final year,7.6,True,need to work on time management,mnc with good work life balance,False,communication uml excel sql requirement analysis requirements analyst stakeholder analysis computer science internship need to work on time management
Embedded Systems Engineer,"raspberry pi, debugging, arduino, c, microcontrollers, rtos, pcb design, c++",robotics,embedded systems engineer,line following robot,Computer Science,4th year,6.2,False,need to improve communication skills,research organization,True,raspberry pi debugging arduino c microcontrollers rtos pcb design c++ robotics embedded systems engineer line following robot computer science no internship need to improve communication skills
Cybersecurity Analyst,"linux, sql, ethical hacking, security fundamentals, cryptography, penetration testing",information security,penetration tester,firewall configuration,Information Technology,1st year,9.9,True,not good at system design,service company,True,linux sql ethical hacking security fundamentals cryptography penetration testing information security penetration tester firewall configuration information technology internship not good at system design
Data Analyst,"tableau, sql, data visualization, excel, python, statistics, power bi",reporting,business analyst,market analysis report,Commerce,2nd year,9.0,True,weak in mathematics,service company,True,tableau sql data visualization excel python statistics power bi reporting business analyst market analysis report commerce internship weak in mathematics
Full Stack Developer,"sql, mongodb, css, html, rest api, javascript",building web applications,full stack engineer,full stack ecommerce app,Information Technology,4th year,9.0,False,limited knowledge of cloud platforms,research organization,False,sql mongodb css html rest api javascript building web applications full stack engineer full stack ecommerce app information technology no internship limited knowledge of cloud platforms
ML Engineer,"pytorch, tensorflow, model deployment, machine learning, pandas",deep learning,machine learning engineer,image recognition model,Information Technology,final year,8.4,False,weak in statistics,fintech startup,False,pytorch tensorflow model deployment machine learning pandas deep learning machine learning engineer image recognition model information technology no internship weak in statistics
Frontend Developer,"react, javascript, responsive design, css, git, html",ui development,web developer,landing page,Computer Science,1st year,6.5,False,not good at system design,edtech company,True,react javascript responsive design css git html ui development web developer landing page computer science no internship not good at system design
Business Analyst,"uml, requirement gathering, excel, data analysis, communication, documentation",project management,business analyst,gap analysis report,Commerce,4th year,8.7,True,need to work on time management,"product company, remote",False,uml requirement gathering excel data analysis communication documentation project management business analyst gap analysis report commerce internship need to work on time management
Cybersecurity Analyst,"linux, cloud security, sql, networking, firewalls",penetration testing,cybersecurity analyst,penetration testing report,Computer Science,final year,7.6,True,lack of real-world project experience,remote job,True,linux cloud security sql networking firewalls penetration testing cybersecurity analyst penetration testing report computer science internship lack of real-world project experience
Embedded Systems Engineer,"debugging, electronics, communication protocols, arduino, c, microcontrollers, rtos, pcb design, c++",hardware programming,firmware engineer,iot home automation,Computer Science,final year,6.5,False,not good at system design,startup environment,False,debugging electronics communication protocols arduino c microcontrollers rtos pcb design c++ hardware programming firmware engineer iot home automation computer science no internship not good at system design
ML Engineer,"numpy, pytorch, python, tensorflow, spark, model deployment, deep learning, pandas",mlops,ai engineer,real-time inference system,Computer Science,1st year,8.8,True,lack of real-world project experience,startup environment,False,numpy pytorch python tensorflow spark model deployment deep learning pandas mlops ai engineer real-time inference system computer science internship lack of real-world project experience
Mobile Developer,"flutter, mobile ui, android, state management, git, firebase, react native, kotlin, java",ios development,ios developer,quiz app,Information Technology,2nd year,9.9,False,need to work on time management,research organization,False,flutter mobile ui android state management git firebase react native kotlin java ios development ios developer quiz app information technology no internship need to work on time management
Full Stack Developer,"react, sql, javascript, mongodb, docker, rest api, git, typescript, node.js, aws, html",end to end development,full stack engineer,social media clone,Information Technology,4th year,9.6,False,limited knowledge of cloud platforms,startup environment,False,react sql javascript mongodb docker rest api git typescript node.js aws html end to end development full stack engineer social media clone information technology no internship limited knowledge of cloud platforms
Full Stack Developer,"react, sql, figma, css, nextjs, rest api",building web applications,full stack developer,job portal,Information Technology,2nd year,7.6,True,limited knowledge of cloud platforms,service company,True,react sql figma css nextjs rest api building web applications full stack developer job portal information technology internship limited knowledge of cloud platforms
ML Engineer,"numpy, pytorch, python, tensorflow, nlp, model deployment, docker, kubernetes, pandas",mlops,deep learning engineer,nlp pipeline,Information Technology,4th year,6.1,False,need to work on time management,remote job,True,numpy pytorch python tensorflow nlp model deployment docker kubernetes pandas mlops deep learning engineer nlp pipeline information technology no internship need to work on time management
ML Engineer,"pytorch, spark, model deployment, machine learning, docker, deep learning, fastapi, pandas, data pipelines",production ml systems,ml engineer,nlp pipeline,Information Technology,2nd year,8.9,False,limited knowledge of cloud platforms,startup environment,True,pytorch spark model deployment machine learning docker deep learning fastapi pandas data pipelines production ml systems ml engineer nlp pipeline information technology no internship limited knowledge of cloud platforms
Software Engineer,"data structures, linux, object oriented programming, python, design patterns, agile, problem solving, algorithms, rest api, git, java",hackathons,software engineer at a top product company,task manager app,Information Technology,2nd year,9.8,False,weak in mathematics,edtech company,False,data structures linux object oriented programming python design patterns agile problem solving algorithms rest api git java hackathons software engineer at a top product company task manager app information technology no internship weak in mathematics
Backend Engineer,"data structures, sql, python, docker, rest api, databases, git, node.js, aws, java, system design",distributed systems,backend engineer at a product company,blog api,Computer Science,4th year,10.0,False,not confident in public speaking,startup environment,True,data structures sql python docker rest api databases git node.js aws java system design distributed systems backend engineer at a product company blog api computer science no internship not confident in public speaking
Cloud Engineer,"azure, python, networking, git, serverless, aws, storage services",aws,aws engineer,cloud deployment pipeline,Computer Science,final year,8.5,False,limited knowledge of cloud platforms,remote job,False,azure python networking git serverless aws storage services aws aws engineer cloud deployment pipeline computer science no internship limited knowledge of cloud platforms
DevOps Engineer,"linux, shell scripting, grafana, terraform, ci/cd, networking basics, monitoring, docker, git, gcp, kubernetes, aws",automation,cloud engineer,dockerized application,Information Technology,3rd year,6.5,False,need to improve problem solving speed,fintech startup,False,linux shell scripting grafana terraform ci/cd networking basics monitoring docker git gcp kubernetes aws automation cloud engineer dockerized application information technology no internship need to improve problem solving speed
Frontend Developer,"react, responsive design, css, git, tailwind css, html",web design,react developer,dashboard ui,Electronics,4th year,8.3,False,weak in mathematics,fintech startup,False,react responsive design css git tailwind css html web design react developer dashboard ui electronics no internship weak in mathematics
UI/UX Designer,"usability testing, figma, html css basics, adobe xd, user research, color theory, design thinking, prototyping",user experience,visual designer,user research report,Arts,final year,9.2,True,not confident in public speaking,edtech company,False,usability testing figma html css basics adobe xd user research color theory design thinking prototyping user experience visual designer user research report arts internship not confident in public speaking
Data Scientist,"numpy, tableau, sql, data visualization, python, pytorch, statistics, tensorflow, deep learning, probability, pandas",predictive modeling,applied scientist,house price prediction,Electronics,final year,8.5,False,weak in networking concepts,startup environment,True,numpy tableau sql data visualization python pytorch statistics tensorflow deep learning probability pandas predictive modeling applied scientist house price prediction electronics no internship weak in networking concepts
Data Scientist,"numpy, tableau, sql, data visualization, python, pytorch, statistics, tensorflow, machine learning, scikit-learn, probability, pandas",machine learning,data scientist,stock price forecasting,Computer Science,1st year,7.2,False,limited knowledge of cloud platforms,research organization,True,numpy tableau sql data visualization python pytorch statistics tensorflow machine learning scikit-learn probability pandas machine learning data scientist stock price forecasting computer science no internship limited knowledge of cloud platforms
Frontend Developer,"react, responsive design, css, tailwind css, javascript",web design,react developer,blog website,Information Technology,2nd year,6.5,False,need to work on time management,research organization,False,react responsive design css tailwind css javascript web design react developer blog website information technology no internship need to work on time management
Data Scientist,"sql, data visualization, python, statistics, nlp, machine learning, deep learning, probability, pandas",data science,applied scientist,house price prediction,Computer Science,1st year,7.8,True,weak in mathematics,startup environment,True,sql data visualization python statistics nlp machine learning deep learning probability pandas data science applied scientist house price prediction computer science internship weak in mathematics
Data Analyst,"tableau, sql, data visualization, excel",data visualization,insights analyst,sql analytics project,Commerce,1st year,9.9,True,weak in networking concepts,"product company, remote",False,tableau sql data visualization excel data visualization insights analyst sql analytics project commerce internship weak in networking concepts
Embedded Systems Engineer,"linux, assembly, python, matlab, arduino, c, rtos, raspberry pi",iot,iot developer,line following robot,Electrical Engineering,4th year,6.3,True,not good at system design,remote job,True,linux assembly python matlab arduino c rtos raspberry pi iot iot developer line following robot electrical engineering internship not good at system design
Frontend Developer,"react, vue, css, nextjs, rest api, git, javascript",frontend development,frontend developer,ecommerce ui,Computer Science,4th year,8.8,False,not confident in interviews,service company,True,react vue css nextjs rest api git javascript frontend development frontend developer ecommerce ui computer science no internship not confident in interviews
Mobile Developer,"flutter, mobile ui, android, git, kotlin, sqlite, java",flutter development,cross platform developer,expense tracker,Electronics and Communication,1st year,8.2,False,weak in mathematics,startup environment,False,flutter mobile ui android git kotlin sqlite java flutter development cross platform developer expense tracker electronics and communication no internship weak in mathematics
DevOps Engineer,"shell scripting, grafana, networking basics, ci/cd, monitoring, docker, git, prometheus, aws",infrastructure,cloud engineer,dockerized application,Computer Science,final year,7.4,True,weak in mathematics,research organization,True,shell scripting grafana networking basics ci/cd monitoring docker git prometheus aws infrastructure cloud engineer dockerized application computer science internship weak in mathematics
Mobile Developer,"flutter, mobile ui, java, dart, git, react native, kotlin, sqlite, android",ios development,mobile app developer,quiz app,Information Technology,2nd year,7.7,True,weak in statistics,"product company, remote",False,flutter mobile ui java dart git react native kotlin sqlite android ios development mobile app developer quiz app information technology internship weak in statistics
Full Stack Developer,"react, sql, javascript, figma, css, nextjs, rest api, git, node.js, html",end to end development,mern stack developer,full stack ecommerce app,Computer Science,1st year,9.6,False,lack of real-world project experience,mnc with good work life balance,True,react sql javascript figma css nextjs rest api git node.js html end to end development mern stack developer full stack ecommerce app computer science no internship lack of real-world project experience
QA Engineer,"sql, selenium, performance testing, bug reporting, ci/cd, automation testing, api testing, git, test cases, sdlc, manual testing",performance testing,sdet,api testing suite,Information Technology,4th year,10.0,True,need to improve communication skills,edtech company,True,sql selenium performance testing bug reporting ci/cd automation testing api testing git test cases sdlc manual testing performance testing sdet api testing suite information technology internship need to improve communication skills
DevOps Engineer,"terraform, networking basics, git, gcp, kubernetes, aws",system administration,cloud engineer,automated deployment pipeline,Electronics and Communication,final year,6.6,True,weak in mathematics,"product company, remote",True,terraform networking basics git gcp kubernetes aws system administration cloud engineer automated deployment pipeline electronics and communication internship weak in mathematics
Full Stack Developer,"react, sql, redis, css, nextjs, typescript, git, node.js",full stack development,mern stack developer,job portal,Computer Science,3rd year,8.7,False,not confident in public speaking,startup environment,False,react sql redis css nextjs typescript git node.js full stack development mern stack developer job portal computer science no internship not confident in public speaking
Data Analyst,"sql, data visualization, python, statistics, looker, etl, pivot tables, pandas",business analytics,data analyst,power bi report,Mathematics,3rd year,8.6,True,need to improve debugging skills,remote job,False,sql data visualization python statistics looker etl pivot tables pandas business analytics data analyst power bi report mathematics internship need to improve debugging skills
Cloud Engineer,"azure, aws, python, docker",cloud computing,azure engineer,cloud deployment pipeline,Computer Science,2nd year,8.6,False,weak in mathematics,mnc with good work life balance,False,azure aws python docker cloud computing azure engineer cloud deployment pipeline computer science no internship weak in mathematics
Cloud Engineer,"linux, terraform, networking, monitoring, docker, git, gcp, aws, storage services",infrastructure,cloud engineer,serverless api on lambda,Computer Science,1st year,6.9,False,not good at system design,edtech company,True,linux terraform networking monitoring docker git gcp aws storage services infrastructure cloud engineer serverless api on lambda computer science no internship not good at system design
ML Engineer,"numpy, python, tensorflow, nlp, model deployment, machine learning, docker, deep learning, aws sagemaker, pandas",neural networks,mlops engineer,recommendation engine,Information Technology,4th year,7.4,False,weak in networking concepts,remote job,True,numpy python tensorflow nlp model deployment machine learning docker deep learning aws sagemaker pandas neural networks mlops engineer recommendation engine information technology no internship weak in networking concepts
Embedded Systems Engineer,"linux, assembly, debugging, electronics, arduino, c, microcontrollers, rtos, pcb design, c++",robotics,iot developer,iot home automation,Electronics and Communication,2nd year,8.7,True,weak in mathematics,startup environment,True,linux assembly debugging electronics arduino c microcontrollers rtos pcb design c++ robotics iot developer iot home automation electronics and communication internship weak in mathematics
QA Engineer,"sql, performance testing, ci/cd, automation testing, api testing, git, manual testing",software testing,sdet,selenium test scripts,Computer Science,3rd year,7.1,False,not confident in interviews,startup environment,True,sql performance testing ci/cd automation testing api testing git manual testing software testing sdet selenium test scripts computer science no internship not confident in interviews
UI/UX Designer,"usability testing, figma, motion design, user research, wireframing, color theory, invision, design thinking, typography, prototyping",ui design,visual designer,app redesign case study,Arts,3rd year,8.2,False,weak in statistics,service company,False,usability testing figma motion design user research wireframing color theory invision design thinking typography prototyping ui design visual designer app redesign case study arts no internship weak in statistics
Software Engineer,"data structures, linux, python, c++, agile, algorithms, java",software development,sde at faang,library management system,Computer Science,2nd year,7.3,False,limited knowledge of cloud platforms,remote job,False,data structures linux python c++ agile algorithms java software development sde at faang library management system computer science no internship limited knowledge of cloud platforms
Software Engineer,"linux, python, agile, problem solving, algorithms, rest api, c++, system design",software development,software engineer at a top product company,library management system,Information Technology,3rd year,8.4,True,need to improve problem solving speed,edtech company,True,linux python agile problem solving algorithms rest api c++ system design software development software engineer at a top product company library management system information technology internship need to improve problem solving speed
Software Engineer,"data structures, object oriented programming, python, unit testing, c++",coding challenges,software engineer at a top product company,ecommerce website,Software Engineering,3rd year,9.5,False,not confident in interviews,"product company, remote",True,data structures object oriented programming python unit testing c++ coding challenges software engineer at a top product company ecommerce website software engineering no internship not confident in interviews
QA Engineer,"sql, postman, bug reporting, ci/cd, automation testing, api testing, test cases, manual testing",quality assurance,test automation engineer,test automation framework,Computer Science,4th year,6.8,False,weak in networking concepts,research organization,False,sql postman bug reporting ci/cd automation testing api testing test cases manual testing quality assurance test automation engineer test automation framework computer science no internship weak in networking concepts
Software Engineer,"data structures, object oriented programming, python, java, problem solving, algorithms, unit testing, git, c++",competitive programming,software developer,student result portal,Information Technology,3rd year,6.1,True,need to improve problem solving speed,mnc with good work life balance,True,data structures object oriented programming python java problem solving algorithms unit testing git c++ competitive programming software developer student result portal information technology internship need to improve problem solving speed
Mobile Developer,"flutter, ios, state management, git, firebase, react native, kotlin, android",cross platform apps,flutter developer,e-learning app,Information Technology,3rd year,8.0,False,weak in mathematics,mnc with good work life balance,True,flutter ios state management git firebase react native kotlin android cross platform apps flutter developer e-learning app information technology no internship weak in mathematics
ML Engineer,"numpy, pytorch, tensorflow, spark, model deployment, machine learning, deep learning, fastapi, pandas, data pipelines",mlops,machine learning engineer,recommendation engine,Artificial Intelligence,1st year,8.3,True,weak in networking concepts,mnc with good work life balance,True,numpy pytorch tensorflow spark model deployment machine learning deep learning fastapi pandas data pipelines mlops machine learning engineer recommendation engine artificial intelligence internship weak in networking concepts
Frontend Developer,"react, javascript, figma, responsive design, css, git, html",web animations,web developer,todo app,Computer Science,2nd year,8.1,False,weak in statistics,"product company, remote",True,react javascript figma responsive design css git html web animations web developer todo app computer science no internship weak in statistics
Cloud Engineer,"linux, python, networking, monitoring, docker, gcp, kubernetes, serverless, storage services",cloud computing,cloud developer,serverless api on lambda,Information Technology,2nd year,7.7,True,lack of real-world project experience,startup environment,True,linux python networking monitoring docker gcp kubernetes serverless storage services cloud computing cloud developer serverless api on lambda information technology internship lack of real-world project experience
Cybersecurity Analyst,"penetration testing, sql, networking, firewalls, kali linux, compliance, ethical hacking, cryptography, siem tools",ctf challenges,cybersecurity analyst,ctf writeups,Information Technology,final year,6.9,False,not confident in public speaking,remote job,True,penetration testing sql networking firewalls kali linux compliance ethical hacking cryptography siem tools ctf challenges cybersecurity analyst ctf writeups information technology no internship not confident in public speaking
Software Engineer,"data structures, object oriented programming, python, agile, design patterns, java, problem solving, rest api, git, c++, system design",competitive programming,software engineer at a top product company,chat application,Information Technology,4th year,6.5,False,weak in mathematics,service company,False,data structures object oriented programming python agile design patterns java problem solving rest api git c++ system design competitive programming software engineer at a top product company chat application information technology no internship weak in mathematics
Full Stack Developer,"react, sql, javascript, redis, css, rest api, html",web development,full stack developer,social media clone,Computer Science,final year,9.9,True,weak in networking concepts,mnc with good work life balance,True,react sql javascript redis css rest api html web development full stack developer social media clone computer science internship weak in networking concepts
Business Analyst,"sql, uml, excel, requirement gathering, data analysis, communication, documentation",business analysis,product analyst,use case documentation,Management,2nd year,7.8,False,weak in networking concepts,mnc with good work life balance,True,sql uml excel requirement gathering data analysis communication documentation business analysis product analyst use case documentation management no internship weak in networking concepts
Data Scientist,"numpy, pytorch, sql, data visualization, spark, machine learning, deep learning",predictive modeling,machine learning practitioner,stock price forecasting,Electronics,4th year,7.1,False,not confident in interviews,remote job,False,numpy pytorch sql data visualization spark machine learning deep learning predictive modeling machine learning practitioner stock price forecasting electronics no internship not confident in interviews
Data Scientist,"numpy, tableau, sql, tensorflow, machine learning, probability, feature engineering, pandas",statistics,ai researcher,image classifier,Computer Science,3rd year,7.2,True,lack of real-world project experience,remote job,False,numpy tableau sql tensorflow machine learning probability feature engineering pandas statistics ai researcher image classifier computer science internship lack of real-world project experience
Embedded Systems Engineer,"arduino, raspberry pi, c++, debugging",robotics,hardware software engineer,rtos based system,Electrical Engineering,2nd year,7.4,False,need to improve communication skills,remote job,True,arduino raspberry pi c++ debugging robotics hardware software engineer rtos based system electrical engineering no internship need to improve communication skills
Mobile Developer,"flutter, mobile ui, dart, state management, rest api, kotlin, android",mobile app development,ios developer,weather app flutter,Computer Science,final year,6.3,True,weak in statistics,mnc with good work life balance,False,flutter mobile ui dart state management rest api kotlin android mobile app development ios developer weather app flutter computer science internship weak in statistics
Cybersecurity Analyst,"linux, cloud security, sql, python, networking, firewalls, kali linux, ethical hacking",penetration testing,cybersecurity analyst,ctf writeups,Computer Science,2nd year,10.0,False,lack of real-world project experience,research organization,False,linux cloud security sql python networking firewalls kali linux ethical hacking penetration testing cybersecurity analyst ctf writeups computer science no internship lack of real-world project experience
Full Stack Developer,"react, figma, css, typescript, git, html",web development,mern stack developer,food delivery app,Information Technology,final year,8.2,False,not confident in interviews,remote job,True,react figma css typescript git html web development mern stack developer food delivery app information technology no internship not confident in interviews
Cybersecurity Analyst,"linux, sql, firewalls, security fundamentals, ethical hacking, cryptography",ethical hacking,penetration tester,firewall configuration,Computer Science,3rd year,7.7,False,lack of real-world project experience,remote job,False,linux sql firewalls security fundamentals ethical hacking cryptography ethical hacking penetration tester firewall configuration computer science no internship lack of real-world project experience
Backend Engineer,"data structures, sql, python, databases, rest api, git, node.js, java",api design,backend developer,authentication service,Computer Science,3rd year,7.2,True,weak in networking concepts,remote job,False,data structures sql python databases rest api git node.js java api design backend developer authentication service computer science internship weak in networking concepts
